x,y
be hopeful societies which no,longer
hopeful societies which no longer,feed
societies which no longer feed,resentments
which no longer feed resentments,and
no longer feed resentments and,breed
longer feed resentments and breed,violence
feed resentments and breed violence,for
resentments and breed violence for,export
and breed violence for export,.
breed violence for export .,free
violence for export . free,governments
for export . free governments,in
export . free governments in,the
. free governments in the,middle
free governments in the middle,east
governments in the middle east,will
in the middle east will,fight
the middle east will fight,terrorists
middle east will fight terrorists,instead
east will fight terrorists instead,of
will fight terrorists instead of,harboring
fight terrorists instead of harboring,them
terrorists instead of harboring them,and
instead of harboring them and,that
of harboring them and that,helps
harboring them and that helps,us
them and that helps us,keep
and that helps us keep,the
that helps us keep the,peace
helps us keep the peace,.
us keep the peace .,applause
keep the peace . applause,.
the peace . applause .,so
peace . applause . so,our
. applause . so our,mission
applause . so our mission,in
. so our mission in,afghanistan
so our mission in afghanistan,and
our mission in afghanistan and,iraq
mission in afghanistan and iraq,is
in afghanistan and iraq is,clear
afghanistan and iraq is clear,we
and iraq is clear we,will
iraq is clear we will,help
is clear we will help,new
clear we will help new,leaders
we will help new leaders,to
will help new leaders to,train
help new leaders to train,their
new leaders to train their,armies
leaders to train their armies,and
to train their armies and,move
train their armies and move,toward
their armies and move toward,elections
armies and move toward elections,and
and move toward elections and,get
move toward elections and get,on
toward elections and get on,the
elections and get on the,path
and get on the path,of
get on the path of,stability
on the path of stability,and
the path of stability and,democracy
path of stability and democracy,as
of stability and democracy as,quickly
stability and democracy as quickly,as
and democracy as quickly as,possible
democracy as quickly as possible,.
as quickly as possible .,and
quickly as possible . and,then
as possible . and then,our
possible . and then our,troops
. and then our troops,will
and then our troops will,return
then our troops will return,home
our troops will return home,with
troops will return home with,the
will return home with the,honor
return home with the honor,they
home with the honor they,have
with the honor they have,earned
the honor they have earned,.
honor they have earned .,applause
they have earned . applause,.
have earned . applause .,our
earned . applause . our,troops
. applause . our troops,know
applause . our troops know,the
. our troops know the,historic
our troops know the historic,importance
troops know the historic importance,of
know the historic importance of,our
the historic importance of our,work
historic importance of our work,.
importance of our work .,one
of our work . one,army
our work . one army,specialist
work . one army specialist,wrote
. one army specialist wrote,home
one army specialist wrote home,``
army specialist wrote home ``,we
specialist wrote home `` we,are
wrote home `` we are,transforming
home `` we are transforming,a
`` we are transforming a,once
we are transforming a once,sick
are transforming a once sick,society
transforming a once sick society,into
a once sick society into,a
once sick society into a,hopeful
sick society into a hopeful,place
society into a hopeful place,.
into a hopeful place .,the
a hopeful place . the,various
hopeful place . the various,terrorist
place . the various terrorist,enemies
. the various terrorist enemies,we
the various terrorist enemies we,are
various terrorist enemies we are,facing
terrorist enemies we are facing,in
enemies we are facing in,iraq
we are facing in iraq,''
are facing in iraq '',he
facing in iraq '' he,continued
in iraq '' he continued,``
iraq '' he continued ``,are
'' he continued `` are,really
he continued `` are really,aiming
continued `` are really aiming,at
`` are really aiming at,you
are really aiming at you,back
really aiming at you back,in
aiming at you back in,the
at you back in the,united
you back in the united,states
back in the united states,.
in the united states .,this
the united states . this,is
united states . this is,a
states . this is a,test
. this is a test,of
this is a test of,will
is a test of will,for
a test of will for,our
test of will for our,country
of will for our country,.
will for our country .,we
for our country . we,soldiers
our country . we soldiers,of
country . we soldiers of,yours
. we soldiers of yours,are
we soldiers of yours are,doing
soldiers of yours are doing,great
of yours are doing great,and
yours are doing great and,scoring
are doing great and scoring,victories
doing great and scoring victories,and
great and scoring victories and,confronting
and scoring victories and confronting,the
scoring victories and confronting the,evil
victories and confronting the evil,terrorists
and confronting the evil terrorists,.
confronting the evil terrorists .,''
the evil terrorists . '',that
evil terrorists . '' that,young
terrorists . '' that young,man
. '' that young man,is
'' that young man is,right
that young man is right,--
young man is right --,our
man is right -- our,men
is right -- our men,and
right -- our men and,women
-- our men and women,in
our men and women in,uniform
men and women in uniform,are
and women in uniform are,doing
women in uniform are doing,a
in uniform are doing a,superb
uniform are doing a superb,job
are doing a superb job,for
doing a superb job for,america
a superb job for america,.
superb job for america .,applause
job for america . applause,.
for america . applause .,tonight
america . applause . tonight,i
. applause . tonight i,want
applause . tonight i want,to
. tonight i want to,speak
tonight i want to speak,to
i want to speak to,all
want to speak to all,of
to speak to all of,them
speak to all of them,and
to all of them and,to
all of them and to,their
of them and to their,families
them and to their families,you
and to their families you,are
to their families you are,involved
their families you are involved,in
families you are involved in,a
you are involved in a,struggle
are involved in a struggle,of
involved in a struggle of,historic
in a struggle of historic,proportion
a struggle of historic proportion,.
struggle of historic proportion .,because
of historic proportion . because,of
historic proportion . because of,your
proportion . because of your,service
. because of your service,and
because of your service and,sacrifice
of your service and sacrifice,we
your service and sacrifice we,are
service and sacrifice we are,defeating
and sacrifice we are defeating,the
sacrifice we are defeating the,terrorists
we are defeating the terrorists,where
are defeating the terrorists where,they
defeating the terrorists where they,live
the terrorists where they live,and
terrorists where they live and,plan
where they live and plan,and
they live and plan and,you
live and plan and you,'re
and plan and you 're,making
plan and you 're making,america
and you 're making america,safer
you 're making america safer,.
're making america safer .,because
making america safer . because,of
america safer . because of,you
safer . because of you,women
. because of you women,in
because of you women in,afghanistan
of you women in afghanistan,are
you women in afghanistan are,no
women in afghanistan are no,longer
in afghanistan are no longer,shot
afghanistan are no longer shot,in
are no longer shot in,a
no longer shot in a,sports
longer shot in a sports,stadium
shot in a sports stadium,.
in a sports stadium .,because
a sports stadium . because,of
sports stadium . because of,you
stadium . because of you,the
. because of you the,people
because of you the people,of
of you the people of,iraq
you the people of iraq,no
the people of iraq no,longer
people of iraq no longer,fear
of iraq no longer fear,being
iraq no longer fear being,executed
no longer fear being executed,and
longer fear being executed and,left
fear being executed and left,in
being executed and left in,mass
executed and left in mass,graves
and left in mass graves,.
left in mass graves .,because
in mass graves . because,of
mass graves . because of,you
graves . because of you,the
. because of you the,world
because of you the world,is
of you the world is,more
you the world is more,just
the world is more just,and
world is more just and,will
is more just and will,be
more just and will be,more
just and will be more,peaceful
and will be more peaceful,.
will be more peaceful .,we
be more peaceful . we,owe
more peaceful . we owe,you
peaceful . we owe you,our
. we owe you our,thanks
we owe you our thanks,and
owe you our thanks and,we
you our thanks and we,owe
our thanks and we owe,you
thanks and we owe you,something
and we owe you something,more
we owe you something more,.
owe you something more .,we
you something more . we,will
something more . we will,give
more . we will give,you
. we will give you,all
we will give you all,the
will give you all the,resources
give you all the resources,all
you all the resources all,the
all the resources all the,tools
the resources all the tools,and
resources all the tools and,all
all the tools and all,the
the tools and all the,support
tools and all the support,you
and all the support you,need
all the support you need,for
the support you need for,victory
support you need for victory,.
you need for victory .,applause
need for victory . applause,.
for victory . applause .,again
victory . applause . again,my
. applause . again my,opponent
applause . again my opponent,and
. again my opponent and,i
again my opponent and i,have
my opponent and i have,different
opponent and i have different,approaches
and i have different approaches,.
i have different approaches .,i
have different approaches . i,proposed
different approaches . i proposed,and
approaches . i proposed and,the
. i proposed and the,congress
i proposed and the congress,overwhelmingly
proposed and the congress overwhelmingly,passed
and the congress overwhelmingly passed,$
the congress overwhelmingly passed $,87
congress overwhelmingly passed $ 87,billion
overwhelmingly passed $ 87 billion,in
passed $ 87 billion in,funding
$ 87 billion in funding,needed
87 billion in funding needed,by
billion in funding needed by,our
in funding needed by our,troops
funding needed by our troops,doing
needed by our troops doing,battle
by our troops doing battle,in
our troops doing battle in,afghanistan
troops doing battle in afghanistan,and
doing battle in afghanistan and,iraq
battle in afghanistan and iraq,.
in afghanistan and iraq .,my
afghanistan and iraq . my,opponent
and iraq . my opponent,and
iraq . my opponent and,his
. my opponent and his,running
my opponent and his running,mate
opponent and his running mate,voted
and his running mate voted,against
his running mate voted against,this
running mate voted against this,money
mate voted against this money,for
voted against this money for,bullets
against this money for bullets,and
this money for bullets and,fuel
money for bullets and fuel,and
for bullets and fuel and,vehicles
bullets and fuel and vehicles,and
and fuel and vehicles and,body
fuel and vehicles and body,armor
and vehicles and body armor,.
vehicles and body armor .,audience
and body armor . audience,booo
body armor . audience booo,!
armor . audience booo !,the
. audience booo ! the,president
audience booo ! the president,when
booo ! the president when,asked
! the president when asked,to
the president when asked to,explain
president when asked to explain,his
when asked to explain his,vote
asked to explain his vote,the
to explain his vote the,senator
explain his vote the senator,said
his vote the senator said,``
vote the senator said ``,i
the senator said `` i,actually
senator said `` i actually,did
said `` i actually did,vote
`` i actually did vote,for
i actually did vote for,the
actually did vote for the,87
did vote for the 87,billion
vote for the 87 billion,dollars
for the 87 billion dollars,before
the 87 billion dollars before,i
87 billion dollars before i,voted
billion dollars before i voted,against
dollars before i voted against,it
before i voted against it,.
i voted against it .,''
voted against it . '',audience
against it . '' audience,flip-flop
it . '' audience flip-flop,!
. '' audience flip-flop !,flip-flop
'' audience flip-flop ! flip-flop,!
audience flip-flop ! flip-flop !,flip-flop
flip-flop ! flip-flop ! flip-flop,!
! flip-flop ! flip-flop !,the
flip-flop ! flip-flop ! the,president
! flip-flop ! the president,then
flip-flop ! the president then,he
! the president then he,said
the president then he said,he
president then he said he,was
then he said he was,``
he said he was ``,proud
said he was `` proud,''
he was `` proud '',of
was `` proud '' of,that
`` proud '' of that,vote
proud '' of that vote,.
'' of that vote .,then
of that vote . then,when
that vote . then when,pressed
vote . then when pressed,he
. then when pressed he,said
then when pressed he said,it
when pressed he said it,was
pressed he said it was,a
he said it was a,``
said it was a ``,complicated
it was a `` complicated,''
was a `` complicated '',matter
a `` complicated '' matter,.
`` complicated '' matter .,there
complicated '' matter . there,'s
'' matter . there 's,nothing
matter . there 's nothing,complicated
. there 's nothing complicated,about
there 's nothing complicated about,supporting
's nothing complicated about supporting,our
nothing complicated about supporting our,troops
complicated about supporting our troops,in
about supporting our troops in,combat
supporting our troops in combat,.
our troops in combat .,applause
troops in combat . applause,.
in combat . applause .,the
combat . applause . the,president
. applause . the president,our
applause . the president our,allies
. the president our allies,also
the president our allies also,know
president our allies also know,the
our allies also know the,historic
allies also know the historic,importance
also know the historic importance,of
know the historic importance of,our
the historic importance of our,work
historic importance of our work,.
importance of our work .,about
of our work . about,40
our work . about 40,nations
work . about 40 nations,stand
. about 40 nations stand,beside
about 40 nations stand beside,us
40 nations stand beside us,in
nations stand beside us in,afghanistan
stand beside us in afghanistan,and
beside us in afghanistan and,some
us in afghanistan and some,30
in afghanistan and some 30,in
afghanistan and some 30 in,iraq
and some 30 in iraq,.
some 30 in iraq .,and
30 in iraq . and,i
in iraq . and i,deeply
iraq . and i deeply,appreciate
. and i deeply appreciate,the
and i deeply appreciate the,courage
i deeply appreciate the courage,and
deeply appreciate the courage and,wise
appreciate the courage and wise,counsel
the courage and wise counsel,of
courage and wise counsel of,leaders
and wise counsel of leaders,like
wise counsel of leaders like,prime
counsel of leaders like prime,minister
of leaders like prime minister,howard
leaders like prime minister howard,and
like prime minister howard and,president
prime minister howard and president,kwasniewski
minister howard and president kwasniewski,and
howard and president kwasniewski and,prime
and president kwasniewski and prime,minister
president kwasniewski and prime minister,berlusconi
kwasniewski and prime minister berlusconi,--
and prime minister berlusconi --,and
prime minister berlusconi -- and,of
minister berlusconi -- and of,course
berlusconi -- and of course,prime
-- and of course prime,minister
and of course prime minister,tony
of course prime minister tony,blair
course prime minister tony blair,.
prime minister tony blair .,applause
minister tony blair . applause,.
tony blair . applause .,again
blair . applause . again,my
. applause . again my,opponent
applause . again my opponent,takes
. again my opponent takes,a
again my opponent takes a,different
my opponent takes a different,approach
opponent takes a different approach,.
takes a different approach .,in
a different approach . in,the
different approach . in the,midst
approach . in the midst,of
. in the midst of,war
in the midst of war,he
the midst of war he,has
midst of war he has,called
of war he has called,american
war he has called american,allies
he has called american allies,quote
has called american allies quote,a
called american allies quote a,``
american allies quote a ``,coalition
allies quote a `` coalition,of
quote a `` coalition of,the
a `` coalition of the,coerced
`` coalition of the coerced,and
coalition of the coerced and,the
of the coerced and the,bribed
the coerced and the bribed,.
coerced and the bribed .,''
and the bribed . '',that
the bribed . '' that,would
bribed . '' that would,be
. '' that would be,nations
'' that would be nations,like
that would be nations like,great
would be nations like great,britain
be nations like great britain,poland
nations like great britain poland,italy
like great britain poland italy,japan
great britain poland italy japan,the
britain poland italy japan the,netherlands
poland italy japan the netherlands,denmark
italy japan the netherlands denmark,el
japan the netherlands denmark el,salvador
the netherlands denmark el salvador,australia
netherlands denmark el salvador australia,and
denmark el salvador australia and,others
el salvador australia and others,--
salvador australia and others --,allies
australia and others -- allies,that
and others -- allies that,deserve
others -- allies that deserve,the
-- allies that deserve the,respect
allies that deserve the respect,of
that deserve the respect of,all
deserve the respect of all,americans
the respect of all americans,not
respect of all americans not,the
of all americans not the,scorn
all americans not the scorn,of
americans not the scorn of,a
not the scorn of a,politician
the scorn of a politician,.
scorn of a politician .,applause
of a politician . applause,.
a politician . applause .,i
politician . applause . i,respect
. applause . i respect,every
applause . i respect every,soldier
. i respect every soldier,from
i respect every soldier from,every
respect every soldier from every,country
every soldier from every country,who
soldier from every country who,serves
from every country who serves,beside
every country who serves beside,us
country who serves beside us,in
who serves beside us in,the
serves beside us in the,hard
beside us in the hard,work
us in the hard work,of
in the hard work of,history
the hard work of history,.
hard work of history .,america
work of history . america,is
of history . america is,grateful
history . america is grateful,and
. america is grateful and,america
america is grateful and america,will
is grateful and america will,not
grateful and america will not,forget
and america will not forget,.
america will not forget .,applause
will not forget . applause,.
not forget . applause .,the
forget . applause . the,people
. applause . the people,we
applause . the people we,have
. the people we have,freed
the people we have freed,wo
people we have freed wo,n't
we have freed wo n't,forget
have freed wo n't forget,either
freed wo n't forget either,.
wo n't forget either .,not
n't forget either . not,long
forget either . not long,ago
either . not long ago,seven
. not long ago seven,iraqi
not long ago seven iraqi,men
long ago seven iraqi men,came
ago seven iraqi men came,to
seven iraqi men came to,see
iraqi men came to see,me
men came to see me,in
came to see me in,the
to see me in the,oval
see me in the oval,office
me in the oval office,.
in the oval office .,they
the oval office . they,had
oval office . they had,x
office . they had x,'s
. they had x 's,branded
they had x 's branded,into
had x 's branded into,their
x 's branded into their,foreheads
's branded into their foreheads,and
branded into their foreheads and,their
into their foreheads and their,right
their foreheads and their right,hands
foreheads and their right hands,had
and their right hands had,been
their right hands had been,cut
right hands had been cut,off
hands had been cut off,by
had been cut off by,saddam
been cut off by saddam,hussein
cut off by saddam hussein,'s
off by saddam hussein 's,secret
by saddam hussein 's secret,police
saddam hussein 's secret police,the
hussein 's secret police the,sadistic
's secret police the sadistic,punishment
secret police the sadistic punishment,for
police the sadistic punishment for,imaginary
the sadistic punishment for imaginary,crimes
sadistic punishment for imaginary crimes,.
punishment for imaginary crimes .,during
for imaginary crimes . during,our
imaginary crimes . during our,emotional
crimes . during our emotional,visit
. during our emotional visit,one
during our emotional visit one,of
our emotional visit one of,the
emotional visit one of the,iraqi
visit one of the iraqi,men
one of the iraqi men,used
of the iraqi men used,his
the iraqi men used his,new
iraqi men used his new,prosthetic
men used his new prosthetic,hand
used his new prosthetic hand,to
his new prosthetic hand to,slowly
new prosthetic hand to slowly,write
prosthetic hand to slowly write,out
hand to slowly write out,in
to slowly write out in,arabic
slowly write out in arabic,a
write out in arabic a,prayer
out in arabic a prayer,for
in arabic a prayer for,god
arabic a prayer for god,to
a prayer for god to,bless
prayer for god to bless,america
for god to bless america,.
god to bless america .,applause
to bless america . applause,.
bless america . applause .,i
america . applause . i,am
. applause . i am,proud
applause . i am proud,that
. i am proud that,our
i am proud that our,country
am proud that our country,remains
proud that our country remains,the
that our country remains the,hope
our country remains the hope,of
country remains the hope of,the
remains the hope of the,oppressed
the hope of the oppressed,and
hope of the oppressed and,the
of the oppressed and the,greatest
the oppressed and the greatest,force
oppressed and the greatest force,for
and the greatest force for,good
the greatest force for good,on
greatest force for good on,this
force for good on this,earth
for good on this earth,.
good on this earth .,applause
on this earth . applause,.
this earth . applause .,others
earth . applause . others,understand
. applause . others understand,the
applause . others understand the,historic
. others understand the historic,importance
others understand the historic importance,of
understand the historic importance of,our
the historic importance of our,work
historic importance of our work,.
importance of our work .,the
of our work . the,terrorists
our work . the terrorists,know
work . the terrorists know,.
. the terrorists know .,they
the terrorists know . they,know
terrorists know . they know,that
know . they know that,a
. they know that a,vibrant
they know that a vibrant,successful
know that a vibrant successful,democracy
that a vibrant successful democracy,at
a vibrant successful democracy at,the
vibrant successful democracy at the,heart
successful democracy at the heart,of
democracy at the heart of,the
at the heart of the,middle
the heart of the middle,east
heart of the middle east,will
of the middle east will,discredit
the middle east will discredit,their
middle east will discredit their,radical
east will discredit their radical,ideology
will discredit their radical ideology,of
discredit their radical ideology of,hate
their radical ideology of hate,.
radical ideology of hate .,applause
ideology of hate . applause,.
of hate . applause .,they
hate . applause . they,know
. applause . they know,that
applause . they know that,men
. they know that men,and
they know that men and,women
know that men and women,with
that men and women with,hope
men and women with hope,and
and women with hope and,purpose
women with hope and purpose,and
with hope and purpose and,dignity
hope and purpose and dignity,do
and purpose and dignity do,not
purpose and dignity do not,strap
and dignity do not strap,bombs
dignity do not strap bombs,on
do not strap bombs on,their
not strap bombs on their,bodies
strap bombs on their bodies,and
bombs on their bodies and,kill
on their bodies and kill,the
their bodies and kill the,innocent
bodies and kill the innocent,.
and kill the innocent .,applause
kill the innocent . applause,.
the innocent . applause .,the
innocent . applause . the,terrorists
. applause . the terrorists,are
applause . the terrorists are,fighting
. the terrorists are fighting,freedom
the terrorists are fighting freedom,with
terrorists are fighting freedom with,all
are fighting freedom with all,their
fighting freedom with all their,cunning
freedom with all their cunning,and
with all their cunning and,cruelty
all their cunning and cruelty,because
their cunning and cruelty because,freedom
cunning and cruelty because freedom,is
and cruelty because freedom is,their
cruelty because freedom is their,greatest
because freedom is their greatest,fear
freedom is their greatest fear,--
is their greatest fear --,and
their greatest fear -- and,they
greatest fear -- and they,should
fear -- and they should,be
-- and they should be,afraid
and they should be afraid,because
they should be afraid because,freedom
should be afraid because freedom,is
be afraid because freedom is,on
afraid because freedom is on,the
because freedom is on the,march
freedom is on the march,.
is on the march .,applause
on the march . applause,.
the march . applause .,i
march . applause . i,believe
. applause . i believe,in
applause . i believe in,the
. i believe in the,transformational
i believe in the transformational,power
believe in the transformational power,of
in the transformational power of,liberty
the transformational power of liberty,the
transformational power of liberty the,wisest
power of liberty the wisest,use
of liberty the wisest use,of
liberty the wisest use of,american
the wisest use of american,strength
wisest use of american strength,is
use of american strength is,to
of american strength is to,advance
american strength is to advance,freedom
strength is to advance freedom,.
is to advance freedom .,as
to advance freedom . as,the
advance freedom . as the,citizens
freedom . as the citizens,of
. as the citizens of,afghanistan
as the citizens of afghanistan,and
the citizens of afghanistan and,iraq
citizens of afghanistan and iraq,seize
of afghanistan and iraq seize,the
afghanistan and iraq seize the,moment
and iraq seize the moment,their
iraq seize the moment their,example
seize the moment their example,will
the moment their example will,send
moment their example will send,a
their example will send a,message
example will send a message,of
will send a message of,hope
send a message of hope,throughout
a message of hope throughout,a
message of hope throughout a,vital
of hope throughout a vital,region
hope throughout a vital region,.
throughout a vital region .,palestinians
a vital region . palestinians,will
vital region . palestinians will,hear
region . palestinians will hear,the
. palestinians will hear the,message
palestinians will hear the message,that
will hear the message that,democracy
hear the message that democracy,and
the message that democracy and,reform
message that democracy and reform,are
that democracy and reform are,within
democracy and reform are within,their
and reform are within their,reach
reform are within their reach,and
are within their reach and,so
within their reach and so,is
their reach and so is,peace
reach and so is peace,with
and so is peace with,our
so is peace with our,good
is peace with our good,friend
peace with our good friend,israel
with our good friend israel,.
our good friend israel .,applause
good friend israel . applause,.
friend israel . applause .,young
israel . applause . young,women
. applause . young women,across
applause . young women across,the
. young women across the,middle
young women across the middle,east
women across the middle east,will
across the middle east will,hear
the middle east will hear,the
middle east will hear the,message
east will hear the message,that
will hear the message that,their
hear the message that their,day
the message that their day,of
message that their day of,equality
that their day of equality,and
their day of equality and,justice
day of equality and justice,is
of equality and justice is,coming
equality and justice is coming,.
and justice is coming .,young
justice is coming . young,men
is coming . young men,will
coming . young men will,hear
. young men will hear,the
young men will hear the,message
men will hear the message,that
will hear the message that,national
hear the message that national,progress
the message that national progress,and
message that national progress and,dignity
that national progress and dignity,are
national progress and dignity are,found
progress and dignity are found,in
and dignity are found in,liberty
dignity are found in liberty,not
are found in liberty not,tyranny
found in liberty not tyranny,and
in liberty not tyranny and,terror
liberty not tyranny and terror,.
not tyranny and terror .,reformers
tyranny and terror . reformers,and
and terror . reformers and,political
terror . reformers and political,prisoners
. reformers and political prisoners,and
reformers and political prisoners and,exiles
and political prisoners and exiles,will
political prisoners and exiles will,hear
prisoners and exiles will hear,the
and exiles will hear the,message
exiles will hear the message,that
will hear the message that,their
hear the message that their,dream
the message that their dream,of
message that their dream of,freedom
that their dream of freedom,can
their dream of freedom can,not
dream of freedom can not,be
of freedom can not be,denied
freedom can not be denied,forever
can not be denied forever,.
not be denied forever .,and
be denied forever . and,as
denied forever . and as,freedom
forever . and as freedom,advances
. and as freedom advances,--
and as freedom advances --,heart
as freedom advances -- heart,by
freedom advances -- heart by,heart
advances -- heart by heart,and
-- heart by heart and,nation
heart by heart and nation,by
by heart and nation by,nation
heart and nation by nation,--
and nation by nation --,america
nation by nation -- america,will
by nation -- america will,be
nation -- america will be,more
-- america will be more,secure
america will be more secure,and
will be more secure and,the
be more secure and the,world
more secure and the world,more
secure and the world more,peaceful
and the world more peaceful,.
the world more peaceful .,applause
world more peaceful . applause,.
more peaceful . applause .,america
peaceful . applause . america,has
. applause . america has,done
applause . america has done,this
. america has done this,kind
america has done this kind,of
has done this kind of,work
done this kind of work,before
this kind of work before,--
kind of work before --,and
of work before -- and,there
work before -- and there,have
before -- and there have,always
-- and there have always,been
and there have always been,doubters
there have always been doubters,.
have always been doubters .,in
always been doubters . in,1946
been doubters . in 1946,18
doubters . in 1946 18,months
. in 1946 18 months,after
in 1946 18 months after,the
1946 18 months after the,fall
18 months after the fall,of
months after the fall of,berlin
after the fall of berlin,to
the fall of berlin to,allied
fall of berlin to allied,forces
of berlin to allied forces,a
berlin to allied forces a,journalist
to allied forces a journalist,wrote
allied forces a journalist wrote,in
forces a journalist wrote in,the
a journalist wrote in the,new
journalist wrote in the new,york
wrote in the new york,times
in the new york times,``
the new york times ``,germany
new york times `` germany,is
york times `` germany is,--
times `` germany is --,a
`` germany is -- a,land
germany is -- a land,in
is -- a land in,an
-- a land in an,acute
a land in an acute,stage
land in an acute stage,of
in an acute stage of,economic
an acute stage of economic,political
acute stage of economic political,and
stage of economic political and,moral
of economic political and moral,crisis
economic political and moral crisis,.
political and moral crisis .,[
and moral crisis . [,european
moral crisis . [ european,]
crisis . [ european ],capitals
. [ european ] capitals,are
[ european ] capitals are,frightened
european ] capitals are frightened,.
] capitals are frightened .,in
capitals are frightened . in,every
are frightened . in every,[
frightened . in every [,military
. in every [ military,]
in every [ military ],headquarters
every [ military ] headquarters,one
[ military ] headquarters one,meets
military ] headquarters one meets,alarmed
] headquarters one meets alarmed,officials
headquarters one meets alarmed officials,doing
one meets alarmed officials doing,their
meets alarmed officials doing their,utmost
alarmed officials doing their utmost,to
officials doing their utmost to,deal
doing their utmost to deal,with
their utmost to deal with,the
utmost to deal with the,consequences
to deal with the consequences,of
deal with the consequences of,the
with the consequences of the,occupation
the consequences of the occupation,policy
consequences of the occupation policy,that
of the occupation policy that,they
the occupation policy that they,admit
occupation policy that they admit,has
policy that they admit has,failed
that they admit has failed,.
they admit has failed .,''
admit has failed . '',end
has failed . '' end,quote
failed . '' end quote,.
. '' end quote .,maybe
'' end quote . maybe,that
end quote . maybe that,same
quote . maybe that same,person
. maybe that same person,is
maybe that same person is,still
that same person is still,around
same person is still around,writing
person is still around writing,editorials
is still around writing editorials,.
still around writing editorials .,applause
around writing editorials . applause,.
writing editorials . applause .,fortunately
editorials . applause . fortunately,we
. applause . fortunately we,had
applause . fortunately we had,a
. fortunately we had a,resolute
fortunately we had a resolute,president
we had a resolute president,named
had a resolute president named,truman
a resolute president named truman,who
resolute president named truman who,with
president named truman who with,the
named truman who with the,american
truman who with the american,people
who with the american people,persevered
with the american people persevered,knowing
the american people persevered knowing,that
american people persevered knowing that,a
people persevered knowing that a,new
persevered knowing that a new,democracy
knowing that a new democracy,at
that a new democracy at,the
a new democracy at the,center
new democracy at the center,of
democracy at the center of,europe
at the center of europe,would
the center of europe would,lead
center of europe would lead,to
of europe would lead to,stability
europe would lead to stability,and
would lead to stability and,peace
lead to stability and peace,.
to stability and peace .,and
stability and peace . and,because
and peace . and because,that
peace . and because that,generation
. and because that generation,of
and because that generation of,americans
because that generation of americans,held
that generation of americans held,firm
generation of americans held firm,in
of americans held firm in,the
americans held firm in the,cause
held firm in the cause,of
firm in the cause of,liberty
in the cause of liberty,we
the cause of liberty we,live
cause of liberty we live,in
of liberty we live in,a
liberty we live in a,better
we live in a better,and
live in a better and,safer
in a better and safer,world
a better and safer world,today
better and safer world today,.
and safer world today .,applause
safer world today . applause,.
world today . applause .,the
today . applause . the,progress
. applause . the progress,we
applause . the progress we,and
. the progress we and,our
the progress we and our,friends
progress we and our friends,and
we and our friends and,allies
and our friends and allies,seek
our friends and allies seek,in
friends and allies seek in,the
and allies seek in the,broader
allies seek in the broader,middle
seek in the broader middle,east
in the broader middle east,will
the broader middle east will,not
broader middle east will not,come
middle east will not come,easily
east will not come easily,or
will not come easily or,all
not come easily or all,at
come easily or all at,once
easily or all at once,.
or all at once .,yet
all at once . yet,americans
at once . yet americans,of
once . yet americans of,all
. yet americans of all,people
yet americans of all people,should
americans of all people should,never
of all people should never,be
all people should never be,surprised
people should never be surprised,by
should never be surprised by,the
never be surprised by the,power
be surprised by the power,of
surprised by the power of,liberty
by the power of liberty,to
the power of liberty to,transform
power of liberty to transform,lives
of liberty to transform lives,and
liberty to transform lives and,nations
to transform lives and nations,.
transform lives and nations .,that
lives and nations . that,power
and nations . that power,brought
nations . that power brought,settlers
. that power brought settlers,on
that power brought settlers on,perilous
power brought settlers on perilous,journeys
brought settlers on perilous journeys,inspired
settlers on perilous journeys inspired,colonies
on perilous journeys inspired colonies,to
perilous journeys inspired colonies to,rebellion
journeys inspired colonies to rebellion,ended
inspired colonies to rebellion ended,the
colonies to rebellion ended the,sin
to rebellion ended the sin,of
rebellion ended the sin of,slavery
ended the sin of slavery,and
the sin of slavery and,set
sin of slavery and set,our
of slavery and set our,nation
slavery and set our nation,against
and set our nation against,the
set our nation against the,tyrannies
our nation against the tyrannies,of
nation against the tyrannies of,the
against the tyrannies of the,20th
the tyrannies of the 20th,century
tyrannies of the 20th century,.
of the 20th century .,we
the 20th century . we,were
20th century . we were,honored
century . we were honored,to
. we were honored to,aid
we were honored to aid,the
were honored to aid the,rise
honored to aid the rise,of
to aid the rise of,democracy
aid the rise of democracy,in
the rise of democracy in,germany
rise of democracy in germany,and
of democracy in germany and,japan
democracy in germany and japan,and
in germany and japan and,nicaragua
germany and japan and nicaragua,and
and japan and nicaragua and,central
japan and nicaragua and central,europe
and nicaragua and central europe,and
nicaragua and central europe and,the
and central europe and the,baltics
central europe and the baltics,--
europe and the baltics --,and
and the baltics -- and,that
the baltics -- and that,noble
baltics -- and that noble,story
-- and that noble story,goes
and that noble story goes,on
that noble story goes on,.
noble story goes on .,i
story goes on . i,believe
goes on . i believe,that
on . i believe that,america
. i believe that america,is
i believe that america is,called
believe that america is called,to
that america is called to,lead
america is called to lead,the
is called to lead the,cause
called to lead the cause,of
to lead the cause of,freedom
lead the cause of freedom,in
the cause of freedom in,a
cause of freedom in a,new
of freedom in a new,century
freedom in a new century,.
in a new century .,i
a new century . i,believe
new century . i believe,that
century . i believe that,millions
. i believe that millions,in
i believe that millions in,the
believe that millions in the,middle
that millions in the middle,east
millions in the middle east,plead
in the middle east plead,in
the middle east plead in,silence
middle east plead in silence,for
east plead in silence for,their
plead in silence for their,liberty
in silence for their liberty,.
silence for their liberty .,i
for their liberty . i,believe
their liberty . i believe,that
